owner,repo_name,username,account_created_at,total_contributors,first_commit_date,last_commit_date,days_between_commits
ibnudirsan,Starter-Kit-Laravel,ibnudirsandev,2022-09-22T08:57:51Z,213,2022-10-05T06:22:57Z,2023-03-31T03:50:15Z,176
ibnudirsan,Starter-Kit-Laravel,ibnudirsan,2018-04-10T04:37:47Z,81,2022-10-05T06:21:33Z,2025-01-24T07:46:44Z,842
AnyListen,tools-ocr,AnyListen,2016-04-01T12:45:35Z,31,2019-03-22T09:16:18Z,2023-11-24T09:47:13Z,1708
AnyListen,tools-ocr,litongjava,2017-09-08T08:28:09Z,10,2023-10-11T10:01:13Z,2024-04-28T17:08:40Z,200
hyugenk,hyugenk,hyugenk,2021-08-25T10:29:59Z,176,2023-10-26T05:02:45Z,2024-09-24T18:05:12Z,334
hyugenk,hyugenk,hyugenk,2021-08-25T10:29:59Z,176,2023-10-26T05:02:45Z,2024-09-24T18:05:12Z,334
